code,title,credit,description
ACCT-414,Auditing,3,"Studies the auditing profession and its relationship to the financial community. Includes an examination of professional ethics, auditing standards, risk assessment, internal controls, audits of cycles, sampling, analytical and substantive procedures, and reporting. Students are also introduced to computer assisted auditing techniques. Prerequisite: Accounting 310, minimum grade of C-. Spring."
ACCT-420,Advanced Accounting,3,"Studies the theory and techniques of accounting and reporting for acquisitions, consolidated financial statements, partnerships, variable interest entities, and foreign currency translation. Prerequisite: Accounting 310, minimum grade of C-. Offered periodically."
ACCT-429,Advanced Taxation,3,"A deeper study of federal, state, and local tax laws as it relates to entities, building upon content covered in Accounting 329. Examines the taxation, formation, reorganization, and liquidation of entities. Prerequisite: Accounting 329, minimum grade of C-. Spring."
ACCT-430,Advanced Managerial Accounting,3,"Studies the application of management accounting to strategy and the impact of new and evolving management thinking. Topics include cost allocations, sales variances, management control systems, transfer pricing, performance evaluation, and compensation systems. Prerequisite: Accounting 317, minimum grade of C-. Offered periodically."
ACCT-450,Forensic Accounting,3,"Forensic accounting involves the application of specialized investigative knowledge and skills to collect, analyze and assess evidence and to communicate findings in administrative and legal venues including the boardroom and courtrooms. Subjects covered in this course include fraudulent financial reporting, fraud detection in financial reporting, misappropriation of assets, money laundering, litigation services offered by accountants, evidence management and computer forensics. Prerequisite: C- or better in ACCT 211."
ACCT-455,Financial Analytics,3,"This course covers topics such as computer-based modeling and forecasting and the use of analytics in auditing and consulting practices. Uses spreadsheets and other software products to analyze the impacts of financial decisions related to financial statement analysis, cash budgeting, and cost of capital determination, capital budgeting, and capital structure choices.  The course covers a variety of techniques, such as sensitivity and scenario analysis, optimization methods, Monte Carlo simulation, and regression analysis.  Same course as FIN 455. Prerequisite: C- or better in both ACCT 310 and FIN 361."
ACCT-498,Internship in Accounting,3,"Second internship; a structured assignment that allows the student to gain practical experience in an accounting position relating to an area of career interest. Must be a distinct work experience from that provided by Accounting 398. Credits earned apply only as free elective credits. Student is directed by the internship director and supervised by a member of the cooperating organization. Enrollment in course must be concurrent with work experience. A contract (available from the business school's internship director) must be approved and an offer letter from the internship provider must be on file before registering for course. Sponsoring institutions may require students to have completed specific course(s) in addition to the following prerequisites prior to beginning the internship. Writing intensive course. Prerequisites: Accounting 398 , minimum grade of C-; permission of the internship director of the Schroeder Family School of Business Administration."
ACCT-499,Prof Internship,12,"A structured, full-time, professional assignment that allows students to gain practical experience in an accounting position relating to an area of career interest. Students are directed by the internship director and supervised by a member of the cooperating organization. Enrollment in the course must be concurrent with work experience and all requirements of course must be met during the semester in which the student is enrolled in the course. A contract (available from the business school's internship director) and an offer letter from the internship provider must be reviewed and approved by a review committee before the student may register for the course. Cooperating organizations may require students to have completed specific courses in addition to the following prerequisites prior to beginning the internship. Student must work at least 35 hours per week, totaling at least 540 hours at the cooperating organization. Prerequisites: Accounting 310, minimum grade of C-; permission of internship director and review committee of the Schroeder Family School of Business Administration. Fall and Spring only. May not be repeated."
ANTH-101,World Prehistory,3,Introduces the field of prehistoric archaeology and traces the evolution of culture from the earliest stone tools to the formation of ancient civilizations in both the Old and New Worlds.
ANTH-102,Cultural Anthropology,3,"Studies societies all over the world, from hunter-gatherers to industrial states. Explores the range of variation in forms of subsistence technology, family, government, religion, and other institutions. Seeks to explain cultural differences."
ANTH-103,Biological Anthropology,3,Investigates the biological aspects of human variation and behavior from ecological and evolutionary perspectives. Stresses evolutionary theory and human diversity.
ANTH-200,World Prehistory,3,Introduces the field of prehistoric archaeology and traces the evolution of culture from the earliest stone tools to the formation of ancient civilizations in both the Old and New Worlds.
ANTH-207,Cultural Anthropology,3,"Studies societies all over the world, from hunter-gatherers to industrial states. Explores the range of variation in forms of subsistence technology, family, government, religion, and other institutions. Seeks to explain cultural differences."
ANTH-224,Anthropology of Religion,3,"Provides a critical evaluation of anthropological explanations of various forms of religious behavior such as magic, shamanism, ritual, and witchcraft."
ANTH-301,Special Topics in Anthropology,3,Topics chosen on the basis of programmatic need or student interest. Prerequisite: Anthropology 200 or 207.
ANTH-310,Cultures of Native North Ameri,3,"Surveys the origins, prehistory and traditional ways of life of the Native Americans. Studies representative societies from each of the major culture areas. Prerequisite: ANTH 200 or 207; or permission of instructor."
ANTH-313,Cultures of SE. Asia,3,"Survey of the peoples and cultures of Southeast Asia. Topics include prehistory, European colonialism, economic and social organization, religious practices, urban and rural poverty, and environmental transformations. Pre-requisites: ANTH 101 or ANTH 102"
ANTH-318,Cultures of the Pacific Island,3,"Covers the peoples and cultures of the Pacific islands. Focuses on island migrations, cultural traditions, and globalization. Pre-requisites: ANTH-101 or ANTH-102."
ANTH-399,Evolution of Human Behavior,3,"Explores evolutionary explanations of human behavior. Behaviors of focus include altruism, kinship, parenting, and mating.Pre-Requisites ANTH-102 or ANTH-103."
ANTH-416,Human Evolution,3,"Outlines the stages of hominid biological and cultural evolution, with attention to human variation and the primates. Prerequisite: Anthropology 200 or 207."
ANTH-424,Evolution of Religion,3,"Examines evolutionary theories regarding the origins and functions of religious behaviors, including shamanism, spirit possession, ancestor worship, and divination."
ANTH-440,Linguistic Anthropology,3,"Surveys phonetics and phonology, morphology, syntax, children's language acquisition, language origins, historical linguistics, ethnolinguistics, and sociolinguistics. Prerequisite: ANTH 200 or 207; or permission of instructor."
ANTH-453,Anthropology of Religion,3,"Explores theories of religious beliefs and behavior in non-Western societies. Covers cosmology, myth, ritual, religious specialists, and dynamics. Prerequisites: Six hours of anthropology; junior or senior standing."
ANTH-494,Directed Study,1 to 3,See Sociology 494. Prerequisites: Nine hours of anthropology; junior or senior standing; permission of instructor.
ANTH-496,Internship,1 to 6,Internships available to majors of junior or senior standing who have completed core courses. GPA requirements must be met and student must file an internship application with advisor.
ANTH-497,Intrn in Teaching Anthropology,1 to 2,"Provides majors of junior or senior standing with a comprehensive, supervised field experience in teaching and anthropological pedagogy. Designed for students who are preparing for graduate study in the social sciences. GPA requirements must be met and students must file a teaching internship application with advisor. Prerequisites: Sociology-Anthropology major, sponsorship by the supervising faculty member, junior or senior standing, or permission of instructor. 1-2 credits."
APM-100,Applied Music,1 to 12,TO BE USED ONLY FOR TRANSFER CREDIT
APM-101,Baritone/Euphonium,1 to 3,
APM-102,Bassoon,1 to 3,
APM-103,Cello,1 to 3,
APM-104,Clarinet,1 to 3,
APM-106,Flute,1 to 3,
APM-107,French Horn,1 to 3,
APM-108,Guitar,1 to 3,
APM-109,Harp,1 to 3,harp
APM-110,Harpsichord,1 to 3, 
APM-111,Lute,1 to 3, 
APM-112,Oboe,1 to 3, 
APM-113,Organ,1 to 3, 
APM-114,Percussion,1 to 3, 
APM-115,Piano,1 to 3, 
APM-116,Saxophone,1 to 3, 
APM-117,String Bass,1 to 3, 
APM-118,Trombone,1 to 3, 
APM-119,Trumpet,1 to 3, 
APM-120,Tuba,1 to 3, 
APM-121,Viola,1 to 3, 
APM-122,Violin,1 to 3, 
APM-123,Voice,1 to 3, 
APM-124,Voice (Musical Theatre),1 to 2, 
APM-125,Jazz Guitar,1 to 3,"These lessons will cover the practical application of aspects of jazz guitar, playing techniques, jazz chords symbols recognition, chord constructions, big band chords voicing. The student will learn scales and modes that are used in jazz, associating scales and modes with chords; logistics for learning standards tunes and developing an improvisation in the proper style. The students will learn to perform different styles of jazz such as Swing, Bebop, Cool, Latin rhythms, etc. Fall, spring."
APM-200,Applied Music,1 to 12,TO BE USED ONLY FOR TRANSFER CREDIT
APM-201,Baritone/Euphonium,1 to 3,
APM-202,Bassoon,1 to 3,
APM-203,Cello,1 to 3,
APM-204,Clarinet,1 to 3,
APM-206,Flute,1 to 3,
APM-207,French Horn,1 to 3,
APM-208,Guitar,1 to 3,
APM-209,Harp,1 to 3,harp
APM-210,Harpsichord,1 to 3, 
APM-211,Lute,1 to 3, 
APM-212,Oboe,1 to 3, 
APM-213,Organ,1 to 3, 
APM-214,Percussion,1 to 3, 
APM-215,Piano,1 to 3, 
APM-216,Saxophone,1 to 3, 
APM-217,String Bass,1 to 3, 
APM-218,Trombone,1 to 3, 
APM-219,Trumpet,1 to 3, 
APM-220,Tuba,1 to 3, 
APM-221,Viola,1 to 3, 
APM-222,Violin,1 to 3, 
APM-223,Voice,1 to 3, 
APM-224,Voice (Musical Theatre),1 to 2, 
APM-225,Jazz Guitar,1 to 3,"These lessons will cover the practical application of aspects of jazz guitar, playing techniques, jazz chords symbols recognition, chord constructions, big band chords voicing. The student will learn scales and modes that are used in jazz, associating scales and modes with chords; logistics for learning standards tunes and developing an improvisation in the proper style. The students will learn to perform different styles of jazz such as Swing, Bebop, Cool, Latin rhythms, etc. Fall, spring."
APM-300,Applied Music,1 to 3,
APM-301,Baritone/Euphonium,1 to 3,
APM-302,Bassoon,1 to 3,
APM-303,Cello,1 to 3,
APM-304,Clarinet,1 to 3,
APM-306,Flute,1 to 3,
APM-307,French Horn,1 to 3,
APM-308,Guitar,1 to 3,
APM-309,Harp,1 to 3,
APM-310,Harpsichord,1 to 3, 
APM-311,Lute,1 to 3, 
APM-312,Oboe,1 to 3, 
APM-313,Organ,1 to 3, 
APM-314,Percussion,1 to 3, 
APM-315,Piano,1 to 3, 
APM-316,Saxophone,1 to 3, 
APM-317,String Bass,1 to 3, 
APM-318,Trombone,1 to 3, 
APM-319,Trumpet,1 to 3, 
APM-320,Tuba,1 to 3, 
APM-321,Viola,1 to 3, 
APM-322,Violin,1 to 3, 
APM-323,Voice,1 to 3, 
APM-324,Voice (Musical Theatre),1 to 2, 
APM-325,Jazz Guitar,1 to 3,"These lessons will cover the practical application of aspects of jazz guitar, playing techniques, jazz chords symbols recognition, chord constructions, big band chords voicing. The student will learn scales and modes that are used in jazz, associating scales and modes with chords; logistics for learning standards tunes and developing an improvisation in the proper style. The students will learn to perform different styles of jazz such as Swing, Bebop, Cool, Latin rhythms, etc. Fall, spring."
APM-401,Baritone/Euphonium,1 to 3,
APM-402,Bassoon,1 to 3,
APM-403,Cello,1 to 3,
APM-404,Clarinet,1 to 3,
APM-406,Flute,1 to 3,
APM-407,French Horn,1 to 3,
APM-408,Guitar,1 to 3,
APM-409,Harp,1 to 3,
APM-410,Harpsichord,1 to 3, 
APM-411,Lute,1 to 3, 
APM-412,Oboe,1 to 3, 
APM-413,Organ,1 to 3, 
APM-414,Percussion,1 to 3, 
APM-415,Piano,1 to 3, 
APM-416,Saxophone,1 to 3, 
APM-417,String Bass,1 to 3, 
APM-418,Trombone,1 to 3, 
APM-419,Trumpet,1 to 3, 
APM-420,Tuba,1 to 3, 
APM-421,Viola,1 to 3, 
APM-422,Violin,1 to 3, 
APM-423,Voice,1 to 3, 
APM-424,Voice (Musical Theatre),1 to 2, 
APM-425,Jazz Guitar,1 to 3,"These lessons will cover the practical application of aspects of jazz guitar, playing techniques, jazz chords symbols recognition, chord constructions, big band chords voicing. The student will learn scales and modes that are used in jazz, associating scales and modes with chords; logistics for learning standards tunes and developing an improvisation in the proper style. The students will learn to perform different styles of jazz such as Swing, Bebop, Cool, Latin rhythms, etc. Fall, spring."
ARCH-100,Great Discoveries in Archaeolo,3,"This course provides an introduction to the discipline of archaeology, an overview of great archaeological discoveries worldwide, and a critical discussion of archaeological myths and hoaxes. It is intended for students in any major who are interested in learning more about the past and how it is presented to the public. "
ARCH-105,Intro to Greek Archaeology,3,"Comprehensive overview of the material culture of the Greeks from the Bronze Age through the Hellenistic period, tracing the main developmental trends in architecture, city planning, sculpture, and the minor arts both in the Greek mainland and the Greek colonies overseas. Although primarily archaeological in orientation, necessary historical context is provided. Fall."
ARCH-106,Intro to Roman Archaeology,3,"Comprehensive survey of the material culture of the Romans examining architecture, city planning, art, and technology. Traces development of Roman civilization from the Republic to the Late Antique period. Spring."
ARCH-192,Intro Archaeology Seminar,3,"Seminar intended primarily for freshman or new archaeology majors. Emphasizes fundamental concepts relating to stratigraphy, relative and absolute chronologies, types of archaeological data, map/section reading, recording procedures, approaches to interpretation, and research skills."
ARCH-206,Intro to Near Eastern Arch,3,"Study of Mesopotamia, Anatolia, and the Levant from the Neolithic period to the establishment of the Persian Empire."
ARCH-207,Intro to Egyptian Archaeology,3,"Overview of Egyptian civilization from the predynastic period to the New Kingdom through the exploration of funerary architecture, sculpture, wall painting, tomb furnishings, and other minor arts. The course examines archaeological evidence from a historical perspective, focusing on both the local history of Egypt and on its relationship with other Mediterranean civilizations."
ARCH-250,Myths of the Greeks,3,"Centers on the stories of the Greeks that have survived through the art, architecture, and literature of ancient times."
ARCH-285,Tech Skills/Archaeologists,3,Introduces archaeology students to skills and  techniques useful in recording and analyzing field data as well as developing 3-D models of the project site. Topics include technical sketching and utilizing computer-aided (CAD) techniques for development of accurate 2-D drawings as well as 3-D models. Prerequisite: Sophomore standing.
ARCH-305,Archaeological Ceramics,3,"Examines the study of pottery in archaeology, including physical aspects of ceramic manufacture, development of typologies and relative chronologies for fabric, shape, and decoration, analysis and conservation of ceramic finds, as well as documentation of ceramic finds through profile drawing and cataloging. Uses Greek painted pottery from the Late Bronze Age through the start of the Classical period, Roman red wares, and local Woodland and Mississippian pottery as examples. Prerequisite: ARCH 105, ARCH 192 or ARTH 208; or permission of instructor."
ARCH-306,Greek Architecture,3,"Traces the development of Greek architecture from the Late Bronze Age through the Hellenistic period. Studies the development of city planning, temples, secular buildings, and funerary monuments. Prerequisite: Archaeology 105 or Art History 208 or permission of instructor."
ARCH-307,Roman Architecture,3,Examines the development of Roman building from its roots in Greek and Etruscan architecture to the eclectic Roman architectural idiom of the Empire. Emphasizes the Roman integration of traditional building elements with their own increasing technical virtuosity as structural engineers. Prerequisite: Archaeology 106 or Art History 208 or permission of instructor.
ARCH-308,Greek and Roman Sculpture,3,"Examines the development of sculpture within the Greco-Roman world. Topics covered include the evolution of naturalism in the Greek Archaic period, the high classical style of the 5th century BCE, the varied genres of the Hellenistic world, Roman Republican portraiture, and Roman historical reliefs. Prerequisite: Archaeology 105 or 106 or Art History 208 or permission of instructor."
ARCH-309,The Etruscans,3,"A study of the origins of the Etruscans, who made their appearance in central Italy in the 7th century BCE, and their impact on other Mediterranean cultures. An attempt is made to reconstruct their culture as it can be understood from the architecture and artifacts preserved today. Prerequisite: Archaeology 105 or Art History 208 or permission of instructor."
ARCH-311,Archaeology of Syro-Palestine,3,"Examines the archaeology of Syro-Palestine (modern Israel, Jordan and the Palestinian National Authority) from late prehistory through the Persian period (ca. 8000-332 BCE). Although archaeological data is the primary source of information, other sources, including the Hebrew Bible (Old Testament) and other texts, are employed where appropriate."
ARCH-320,Topics in Archaeology,3,"Focuses on a topic not offered regularly, such as Aegean archaeology or northern European prehistory. May be repeated. Prerequisite: Archaeology 105 or 106 or Art History 208 or permission of instructor."
ARCH-340,Field Techniques,3,"Introduces students to the process of field archaeology. Projects vary from year to year, but involve either excavation of a historical site in Evansville, or assisting with an excavation or survey conducted locally."
ARCH-390,Internship in Archaeology,1 to 12,Internships designed to meet the educational needs of students' professional goals are recommended for archaeology majors and may be arranged with a professional individual or institution. A maximum of 12 credit hours earned in ARCH 390 / 490 may count toward the degree. Prerequisites: permission of faculty advisor and faculty/museum liaison.
ARCH-394,Non-UE Arch Field Practica,3 to 6,This course is used to record archaeological field practica sponsored by institutions other than the University of Evansville.
ARCH-395,Practicum in Archaeology,3 to 6,This practicum in archaeology introduces students to both the practical and theoretical aspects of archaeology. Students participate in an excavation as well as in documentation and conservation of artifacts. The work is conducted under the supervision of a professional staff of archaeologists. Prerequisite: ARCH 105 or 106 or permission of instructor.
ARCH-400,Arch Method and Theory,3,"Examination of the theoretical bases of the discipline of archaeology, the history of the discipline, and the major schools of interpretation. Also, research design, development of chronologies, and the application of scientific techniques to analysis of archaeological remains. Prerequisites: Archaeology 105 or 106; one 300-level archaeology course; or permission of instructor. Course fulfills capstone requirement."
ARCH-415,Women in Antiquity,3,Seminar focuses on women in antiquity. Reviews recent studies of archaeological investigations of women's social and cultural roles and focuses on selected case studies of women in the ancient Near East and eastern Mediterranean from late prehistory through Classical antiquity.
ARCH-420,Northern Euro Prehistoric Arch,3,Examines the archaeology of northern Europe from the Neolithic period through the Roman period. Emphasis on the Celtic cultures of northern Europe.
ARCH-492,Topical Seminars in Arch,3,Special seminar topics in archaeology not included in the regular course offerings. May be repeated.
ARCH-493,Ind Study in Archaeology,1 to 3,Research in areas of archaeology on topics not sufficiently covered in existing courses. Subject and credit earned must be approved by the supervising faculty member and department chair. May be repeated for a maximum of six hours of credit. Prerequisites: Junior standing; consent of instructor.
ART-102,Art in Elementary Schools,3,"Examination of the perceptual, creative, and aesthetic growth and development of children through art experiences. Some basic studio instruction with art appreciation and historical overview. Lab fee. Spring."
ART-105,Introduction to Visual Arts,3,"Lecture. Studies architecture, painting, and sculpture with emphasis on social and aesthetic considerations. Fall, spring."
ART-1TR,Art 100-LEVEL Transfer Course,1 to 6,
ART-200,Intro to Studio Art,3,"An introduction to the studio disciplines for non-art majors. Instruction of the art elements as used in such areas as drawing, painting, printmaking, and sculpture. Lab fee. Fall, spring."
ART-201,Introduction to Art Therapy,3,"Introduces students to the fundamentals of art therapy including theory, methods of practice, and techniques through lecture, experience, and case study presentations. No prior art experience required. Prerequisites: Sophomore status; recommended courses Psychology 121, 226. Fall."
ART-210,Design,3,"Introductory studio course emphasizes basic principles of design, composition, and color theory. Six hours studio. Fall."
ART-213,Computer Graphics,3,"An introduction to the basic uses of the Macintosh computer as used in the visual arts. Emphasizes experimentation with various software packages and the development of the interchangeable and flexible moves from hands-on skills to electronic means. Fall, spring."
ART-214,Basic Photography,3,Introduction to basic camera usage and traditional darkroom techniques. Access to a 35mm print film camera is required. Six hours studio. Lab fee.
ART-220,Drawing,3,Introduces and explores various drawing media with emphasis on perception and drawing techniques. Six hours studio. Fall.
ART-220,Beginning Drawing,3," An exploration of a variety of art mediums from observation. Emphasis is placed on mastery of basic drawing principles and techniques, and the development of a personal drawing style through exposure to a variety of structured drawing experiences. Basic concepts of design and composition are reinforced throughout the drawing process. Studio Fee. Fall and Spring."
ART-221,Intermediate Drawing,3,"Building on the skills and concepts begun in Beginning Drawing, further exploration of drawing media and process will continue the development of a personal sense of imagery and style. The introduction of symbolic or emblematic meaning in subjects should deepen each student's personal involvement with their artwork. This continued study of advanced technical and conceptual approaches to drawing with an expanded variety of media emphasizes the development of a regular and authentic practice of drawing, as well as creative expression and artistic growth. Studio Fee, Prerequisite: ART 220.  Fall/Spring"
ART-301,Creative Dev/Art Therapy,3,"Introduces the fundamentals of creative development and art therapy including theory, methods of practice,and techniques through lecture, experience, and case studies. No prior art experience required. Prerequisites: Sophomore status; recommended courses Psychology 121, 226. Spring"
ART-314,Creative Photography,3,Emphasizes creative and innovative uses of photography with instruction in camera and darkroom procedures. Prerequisite: Art 214 or permission of instructor. Six hours studio. Lab fee.
ART-315,Typography,3,"A fundamental study of the history of type, its creative use and function as a communicative tool. Explores basic principles of good layout design. Six hours studio. Macintosh lab. Prerequisites: Art 210, 213; or permission of instructor."
ART-316,Publication Design,3,"A study of layout design, the creative arrangement of type and visuals on a page. Using appropriate layout software, students create layout designs for various publications (magazines, newspapers, brochures, books). File preparation for print is covered. Six hours studio. Macintosh lab. Prerequisites: Art 213, 315; or permission of the instructor."
ART-321,Advanced Drawing,3,"Advanced work through the exploration of a focused medium and/or theme with an emphasis on drawing as an independent discipline. Students practice the development of personal imagery and style, the visualization of ideas, and create a consistent body of strong, disciplined, well-crafted drawings that address the concerns and interests of the student with an awareness of contemporary issues in Art.  Studio Fee, Prerequisite, ART 220 and 221.  Repeatable, 9 hours.  Fall/Spring"
ART-322,Digital Photography,3,"Introduction to digital photography methods and creative manipulation on the computer, as an alternative to traditional techniques. Familiarity with Photoshop helpful. Macintosh lab. Prerequisite: Art 213 or permission of instructor. Repeatable. Lab fee."
ART-325,Life Drawing,3,"ART 325 Life Drawing (3) Drawing from the model as a means of understanding form, shape, and line. Six hours studio. Repeatable. Lab fee. Spring"
ART-330,Printmaking,3,Emphasizes basic printmaking methods to the development of ideas and aesthetic considerations of materials and techniques employed in printmaking. Six hours studio. Repeatable. Lab fee. Spring.
ART-340,Painting,3,"Emphasizes basic painting techniques with investigation of different advanced media. Six hours studio. Repeatable. Fall, spring."
ART-345,Watercolor,3,"Covers basic, creative, and technical problems in watercolor painting. May be applied toward the painting major in the studio BFA and BS degrees. Six hours studio. Repeatable."
ART-350,Metalwork/Jewelry,3,"Studies basic forming methods: fabricating, casting, forging, and raising with investigation of different materials and techniques employed in metalwork and jewelry. Six hours studio. Repeatable. Lab fee."
ART-360,Beginning Ceramics,3,"Offers basic methods of ceramic hand building, wheel throwing, glazing, and kiln firing techniques. These methods will contribute to the development of ideas and aesthetic considerations of materials and techniques employed in ceramics. Six hours studio. Lab fee. Fall/Spring"
ART-361,Intermediate Ceramics,3,"Development of individual direction in ceramics based on experience, research, and skills acquired in previous course.  Offers more advanced methods of ceramic hand building, wheel throwing, glazing, and kiln firing techniques. These methods will contribute to the development of ideas and aesthetic considerations of materials and techniques employed in ceramics. Six hours studio. Lab fee. Prereq, ART 360.  Fall/Spring"
ART-370,Beginning Sculpture,3,"Introduces concepts, materials, and tools of sculpture. Creative expression as well as exploration into idea, form, and material relationships will be introduced.  Studio Fee.  Fall/Spring"
ART-371,Intermediate Sculpture,3,"Expands upon the exploration of materials, concepts, and processes inherent to the sculpture discipline as introduced in ART 370. Intermediate Sculpture challenges students to creatively integrate technical processes with intention.  6 studio hours.  Studio Fee.  Prereq, ART 370.  Fall/Spring"
ART-401,Art and Culture,3,"Senior seminar devoted to special topics concerning historical traditions in the visual arts, current art issues, and professional development. Prerequisite: Senior status."
ART-405,Art Therapy Seminar,2,"In-depth investigation of the fundamentals of creative development and art therapy, focusing on assessment, research, application, and exploration of the dynamics of the group process. Lecture, experiential learning, and case study presentations included. No prior art experience required. Prerequisites: Art 201, 301; Psychology 121, 226."
ART-410,Portfolio Preparation,3,"Study of current trends in graphic design fields and possible career paths. Preparation of a professional graphic design portfolio that demonstrates the student's proficiencies and strengths. Includes rsum preparation, personal logo, and self promotional projects. Six hours studio. Repeatable. Macintosh lab. Prerequisites: Art 213, 315, 316; or permission of instructor."
ART-417,Advanced Imaging/Illustration,3,"Study of painting, drawing, and photo manipulation software as well as of traditional media to produce illustrations for various uses. Also explores the creative process and idea generation. Six hours studio. Macintosh lab. Prerequisite: Art 213, 315, 316; or permission of instructor."
ART-460,Advanced Ceramics,3,"Encourages students to develop their own projects. Development of individual direction in ceramics based on experience, research, and skills acquired in previous course.  Offers advanced methods of ceramic hand building, wheel throwing, glazing, and kiln firing techniques built around their individual focus. These methods will contribute to the development of ideas and aesthetic considerations of materials and techniques employed in ceramics. Six hours studio. Lab fee. Prereq, ART 361.  Repeatable for 9 hours.  Fall/Spring"
ART-470,Advanced Sculpture,3,"Designed for the advanced student committed to creating a cohesive body of sculptural work with an emphasis on in-depth conceptual, aesthetic, and technical development. Must be self-directed and competent in the equipment and processes necessary for the fabrication of your body of work.  Six studio hours.  Studio Fee.  Prereq, ART 371.  Repeatable, 9 hours.  Fall/Spring"
ART-490,Practicum in Art,1 to 3,A practical experience in a supervised university setting that specializes in the field of art or design. Precedes internship and prepares students to perform for employers outside the university community. Prerequisite: sophomore standing; permission of sponsoring faculty member. Repeatable up to 12 hours.
ART-492,Topical Workshops,1 to 3,Special topics in art not included in the regular course offerings. Based on lecture or lecture/studio. Repeatable.
ART-493,Independent Study in Art,1 to 3,Research in an area of visual arts that pertains to individual interests. May not be substituted for regular course offerings. Subject and credit earned must be approved by the instructor. May be repeated for a maximum of six hours of credit. Prerequisites: Sophomore level; permission of instructor; approval of department chair.
ART-495,Internship in Art,3 to 12,"An apprenticeship or internship program designed to meet the educational needs of students' professional goals. Visual communication design majors may qualify for internships with professional agencies, BFA studio majors with professionally qualified artists or institutions, and BS in art and associated studies majors with institutions related to their career interests. A maximum of 12 credit hours may be earned in Art 495 toward the degree. Prerequisites: Junior standing; permission of sponsoring faculty member."
ART-497,Methods of Teaching Art,3,"This course explores the creative and mental growth of elementary, middle school, and secondary school students participating in classes for the visual arts. In addition, development of an area-specific portfolio is required. This class is for art education majors only."
ARTH-208,Survey of Art I,3,"A survey of architecture, sculpture, and painting from prehistory through the late Gothic period, including non-Western civilizations of India, Southeast Asia, and China. Fall."
ARTH-209,Survey of Art II,3,"A survey of architecture, sculpture, and painting of Western and non-Western regions from the Renaissance to the present, including the Muslim world and Japan. Spring."
ARTH-384,Renaissance Art,3,"Architecture, sculpture, and painting in Italy, France, Germany, and the Netherlands ca. 1300-1600. Prerequisite: Art History 208 or 209 or permission of the instructor."
